account_id,username,user_profile,time_unfollowed,following_button,unfollow_button,actually_unfollowed,possible_404,time_checked,redo_following_button,redo_unfollow_button,redo_time,re_actually_unfollowed,re_possible_404,re_time_checked
6621900250,azoqis,https://www.instagram.com/azoqis,2019-05-19 13:11:36.537821,nan,nan,0,0,2019-05-26 06:03:06.849293,nan,nan,2019-06-02 17:36:13.308025,0,0,2019-06-12 16:45:25.154988
8904374781,mfg_mobile_clan,https://www.instagram.com/mfg_mobile_clan,2019-05-19 13:12:02.500789,nan,nan,0,0,2019-05-26 06:03:10.666632,nan,nan,2019-06-02 17:36:14.312750,0,0,2019-06-12 16:45:30.765221
5693277166,vxlegacy,https://www.instagram.com/vxlegacy,2019-05-19 13:12:27.149180,nan,nan,0,1,2019-05-26 06:03:13.261993,nan,nan,2019-06-02 17:36:15.319708,0,1,2019-06-12 16:45:34.506572
9011228315,lemburglar,https://www.instagram.com/lemburglar,2019-05-19 13:12:53.097341,nan,nan,1,0,2019-05-26 06:03:17.947761,0.0,0.0,2019-06-02 17:36:31.003198,0,0,2019-06-12 16:45:40.345132
8741611443,theendlessclan,https://www.instagram.com/theendlessclan,2019-05-19 13:13:22.351534,nan,nan,0,0,2019-05-26 06:03:21.925277,nan,nan,2019-06-02 17:37:01.010921,0,1,2019-06-12 16:45:44.032944
6561847890,gottwixx,https://www.instagram.com/gottwixx,2019-05-19 13:13:51.581724,nan,nan,0,0,2019-05-26 06:03:25.712581,nan,nan,2019-06-02 17:37:02.016518,0,0,2019-06-12 16:45:49.353214
2296295784,uggowhiteboy,https://www.instagram.com/uggowhiteboy,2019-05-19 13:14:20.670730,nan,nan,0,0,2019-05-26 06:03:29.817926,nan,nan,2019-06-02 17:37:03.022793,0,0,2019-06-12 16:45:55.258301
4358690413,iucldreams,https://www.instagram.com/iucldreams,2019-05-19 13:14:49.868610,nan,nan,0,0,2019-05-26 06:03:34.152987,nan,nan,2019-06-02 17:37:04.027975,0,0,2019-06-12 16:46:00.657748
8170058175,thefranc0,https://www.instagram.com/thefranc0,2019-05-19 13:15:19.742934,nan,nan,0,0,2019-05-26 06:03:38.088725,nan,nan,2019-06-02 17:37:05.034870,0,0,2019-06-12 16:46:06.608635
8979526057,bo4_and_more,https://www.instagram.com/bo4_and_more,2019-05-19 13:15:50.791244,nan,nan,0,0,2019-05-26 06:03:41.778218,nan,nan,2019-06-02 17:37:06.093282,0,0,2019-06-12 16:46:12.275308
6583293694,knuxpro,https://www.instagram.com/knuxpro,2019-05-19 13:16:19.868197,nan,nan,0,0,2019-05-26 06:03:45.951623,nan,nan,2019-06-02 17:37:07.096145,0,0,2019-06-12 16:46:18.325906
8963885770,greatgonesgg,https://www.instagram.com/greatgonesgg,2019-05-19 13:16:53.444787,nan,nan,0,0,2019-05-26 06:03:50.214851,nan,nan,2019-06-02 17:37:08.101428,0,0,2019-06-12 16:46:23.694581
21767073,patrickdugan,https://www.instagram.com/patrickdugan,2019-05-19 13:17:22.895604,nan,nan,0,0,2019-05-26 06:03:54.633290,nan,nan,2019-06-02 17:37:09.108717,0,0,2019-06-12 16:46:29.719927
