account,follower,following
realm_royale_masterclips,1,0
lisarussellwitherspoon,1,1
belated2_,1,0
ardannu_5603,1,0
anne_m_8,1,1
kane_kingpin_chapman,1,1
bemau__,1,0
fnbr01,1,1
beakwashere,0,1
gameonend,1,1
killercompany11,1,1
elite_sickness_gaming,1,0
bloodigertv,1,0
the_war_clan_5346,1,0
fortnite_br_daily789,1,0
ttv.deselz,1,1
gamingbox__,1,0
thareal_lilswayze,1,1
jefferyclout,1,0
shoock_gt.gaming,1,1
vulcanxs,1,1
punknarwhalz,1,1
ftimmobilien24,1,0
phrenzie_,1,0
nimazariniii,1,1
max42014,1,0
trenzyfanpage,1,0
komal.krishna,1,1
its_bliggy,1,1
slr_fortnite,1,0
sergio_512_956,1,1
jhonnyzea,1,0
powergoldenveronica,1,1
convertobot,1,0
playstation.aesthetics,1,1
pearl.stash,1,0
fhlaresxbl,1,0
hayden___jarrett,1,0
r4mstudios,1,0
fornite_clipsdaily,1,0
chase_hunter8,1,0
holyavocadostv,1,1
kletzgaming,1,0
_sondaggi_napoli_1926_,1,0
startrekgame786,1,0
postponed_28,1,1
hindi_.memes,1,0
andreitagom123,1,0
vicdamanttv,1,1
c01stv,1,0
disobeybtw,1,1
ma_noi_che_ne_sappiamo,1,0
belen_markers,1,0
thewelsh_noob,1,1
deltaondemand,1,1
fezinho_smurf,1,1
nicolegarcia._queen,1,0
fortniteclipsfunny2,1,0
pubg_09_,1,0
pleasantonhomes,1,1
moderndaydad,1,1
krishg189002018,1,0
profession_elly,1,1
_sthenonl,1,1
paulsoreal,1,1
the_animalisticrage,1,0
ps64_jack,1,1
dejesusjustin0622,1,0
king_msk_msk_please_subscribe,1,0
cookieefromxbox,1,1
declinebtw,1,1
_.adults_only._,1,0
cooper_ytg,1,0
elricangamer,1,1
sacrafice_plays,1,1
kombatlink,1,1
javirmira_,1,0
exxtremitytv,1,0
slimypollywog,1,1
vuuzle.live,1,0
adeledoherty,1,0
popcornboolatt,1,0
bread_jesus__,1,1
das_karnickel,1,0
tipsytune,1,1
fortnitebumbs,1,0
st_pid.memes,1,1
shutterghosts,1,1
chiccachiccaplaysgames,1,0
ms15marshello,1,0
